Size,0.8m,1.0m,1.2m,1.4m,1.6m,1.8m,2.0m
125x70x4,6.8,5.8,4.9,4.2,3.6,3.2,2.9
140x70x4,6.8,7.2,6,5.2,4.5,4,3.6
130x70x6,6.8,9,7.7,6.6,5.8,5.1,4.6
155x70x4,6.8,9,7.7,6.6,5.8,5.1,4.6
170x70x4,6.8,9,8.6,7.4,6.5,5.7,5.2
150x70x6,6.8,9,10.1,8.6,7.5,6.7,6
160x70x6,6.8,9,11.3,9.7,8.5,7.6,6.8
185x70x4,6.8,9,10.1,8.6,7.6,6.7,6
150x80x8,6.8,9,11.3,11.5,10.1,9,8.1
185x70x5,6.8,9,11.3,11.5,10.1,9,8.1
160x80x8,6.8,9,11.3,13,11.4,10.1,9.1
200x70x5,6.8,9,11.3,12.4,10.8,9.6,8.7
