Size,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m
55x60x4,3.4,2.4,1.7,1.3,1.1,0.9,0.7,0.6
55x60x5,4,2.8,2,1.6,1.2,1,0.8,0.7
65x60x4,5,3.5,2.6,2,1.5,1.2,1,0.9
65x60x5,5.9,4.1,3,2.3,1.8,1.5,1.2,1
75x60x4,6.9,4.8,3.5,2.7,2.1,1.7,1.4,1.2
75x60x5,8.3,5.7,4.2,3.2,"2,6",2.1,1.7,1.4
85x60x4,9.3,6.4,4.7,3.6,2.9,2.3,1.9,1.6
85x60x5,11.1,7.7,5.7,4.3,3.4,2.8,2.3,1.9
95x60x5,14.4,10,7.3,5.6,4.4,3.6,3,2.5
105x60x5,16.5,12.6,9.3,7.1,5.6,4.5,3.8,3.2
115x60x5,16.5,15.6,11.5,8.8,6.9,5.6,4.6,3.9
115x60x6,16.5,16.5,13.3,10.2,8,6.5,5.4,4.5
